latitude,longitude,listing_url
40.71584,-73.96355,https://www.airbnb.com/rooms/150989
40.76505,-73.98716,https://www.airbnb.com/rooms/57618
40.80747,-73.94076,https://www.airbnb.com/rooms/57874
40.8238,-73.94444,https://www.airbnb.com/rooms/58059
40.71946,-73.98641,https://www.airbnb.com/rooms/59014
40.77827,-73.94669,https://www.airbnb.com/rooms/28907
40.68288,-73.95646,https://www.airbnb.com/rooms/29013
40.68292,-73.96381,https://www.airbnb.com/rooms/29628
40.7672,-73.98464,https://www.airbnb.com/rooms/31130
40.73405,-74.00281,https://www.airbnb.com/rooms/31555
40.6327,-73.93184,https://www.airbnb.com/rooms/31902
40.68818,-73.96383,https://www.airbnb.com/rooms/31994
40.68513,-73.96648,https://www.airbnb.com/rooms/32037
40.71512,-73.95899,https://www.airbnb.com/rooms/33009
40.70271,-73.8993,https://www.airbnb.com/rooms/59121
40.7253,-73.98028,https://www.airbnb.com/rooms/60181
40.73072,-73.99275,https://www.airbnb.com/rooms/60457
40.792667388916016,-73.946533203125,https://www.airbnb.com/rooms/60611
40.7573,-73.91488,https://www.airbnb.com/rooms/151199
40.80493,-73.94999,https://www.airbnb.com/rooms/152263
40.7167,-73.95014,https://www.airbnb.com/rooms/152819
40.68096,-73.94062,https://www.airbnb.com/rooms/157673
40.68511,-73.91927,https://www.airbnb.com/rooms/158061
40.71596,-73.96017,https://www.airbnb.com/rooms/158176
40.71174,-73.95798,https://www.airbnb.com/rooms/162493
40.79864,-73.96209,https://www.airbnb.com/rooms/166006
40.68478,-73.9066,https://www.airbnb.com/rooms/166172
40.81006,-73.94559,https://www.airbnb.com/rooms/60666
40.81562,-73.94674,https://www.airbnb.com/rooms/60673
40.69101,-73.97378,https://www.airbnb.com/rooms/34760
40.73814,-74.00811,https://www.airbnb.com/rooms/212109
40.67828,-73.98414,https://www.airbnb.com/rooms/212544
40.71681594848633,-73.98969268798828,https://www.airbnb.com/rooms/213330
40.60742,-74.14388,https://www.airbnb.com/rooms/214917
40.69062,-73.97354,https://www.airbnb.com/rooms/216080
